,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hambantota,75,LK,1592705762,94,6.12,81.12,80.6,8.05
1,Cáchira,100,CO,1592705796,91,7.74,-73.05,56.93,3.51
2,Clyde River,1,CA,1592705798,93,70.47,-68.59,35.6,4.43
3,Rocha,100,UY,1592705726,91,-34.48,-54.33,54.27,11.25
4,Longyearbyen,75,SJ,1592705800,86,78.22,15.64,37.4,13.87
5,Albany,12,US,1592705706,88,42.6,-73.97,79.0,2.57
6,Ponta do Sol,40,PT,1592705802,73,32.67,-17.1,69.8,16.11
7,Salamanca,27,ES,1592705803,87,40.83,-6.0,53.6,2.24
8,Vilhena,0,BR,1592705805,72,-12.74,-60.15,68.52,3.24
9,Port Alfred,0,ZA,1592705634,90,-33.59,26.89,63.0,5.01
10,Kapaa,40,US,1592705540,66,22.08,-159.32,84.2,11.41
11,Alanya,0,TR,1592705808,56,36.54,32.0,76.66,2.64
12,Roald,100,NO,1592705544,93,62.58,6.13,62.01,4.7
13,Tiksi,0,RU,1592705811,34,71.69,128.87,68.49,5.48
14,Yellowknife,20,CA,1592705812,29,62.46,-114.35,75.2,16.11
15,Coyhaique,75,CL,1592705813,80,-45.58,-72.07,39.2,6.93
16,Ribeira Grande,13,PT,1592705814,91,38.52,-28.7,65.68,9.84
17,Punta Arenas,100,CL,1592705815,83,-53.15,-70.92,33.8,4.7
18,Bathsheba,40,BB,1592705816,78,13.22,-59.52,82.4,18.34
19,Cape Town,75,ZA,1592705817,93,-33.93,18.42,60.01,13.87
20,Mackay,40,AU,1592705819,73,-21.15,149.2,75.99,14.99
21,Hithadhoo,67,MV,1592705820,71,-0.6,73.08,83.48,7.0
22,Vestmannaeyjar,100,IS,1592705821,84,63.44,-20.27,51.21,20.76
23,Port Hardy,90,CA,1592705822,82,50.7,-127.42,57.2,8.05
24,Longyan,100,CN,1592705823,55,25.11,117.02,86.54,6.82
25,Berlevåg,0,NO,1592705824,71,70.86,29.09,47.34,3.0
26,Hermanus,15,ZA,1592705825,94,-34.42,19.23,55.99,5.99
27,Rikitea,66,PF,1592705544,86,-23.12,-134.97,74.86,17.0
28,Klaksvík,95,FO,1592705827,93,62.23,-6.59,51.8,14.99
29,Saint-Augustin,73,CA,1592705828,79,51.23,-58.65,43.29,10.25
30,Akdepe,41,TM,1592705829,27,42.06,59.38,77.0,16.11
31,Manokwari,0,ID,1592705831,64,-0.87,134.08,84.74,4.05
32,Barrow,75,US,1592705832,74,71.29,-156.79,37.4,11.41
33,Griffith,40,US,1592705574,69,41.53,-87.42,77.0,14.99
34,Nanortalik,100,GL,1592705834,83,60.14,-45.24,40.21,4.88
35,Muros,91,ES,1592705835,87,42.78,-9.06,64.0,10.0
36,Rosarito,90,MX,1592705836,82,32.33,-117.03,68.0,10.29
37,Hobart,75,AU,1592705837,93,-42.88,147.33,48.99,4.7
38,Bluff,4,NZ,1592705838,72,-46.6,168.33,46.13,6.64
39,Dudinka,40,RU,1592705839,70,69.41,86.18,48.2,15.66
40,Provideniya,0,RU,1592705841,34,64.38,-173.3,62.46,10.96
41,Katsuura,75,JP,1592705842,73,35.13,140.3,79.0,12.75
42,Avarua,100,CK,1592705763,60,-21.21,-159.78,75.2,12.75
43,Hobyo,37,SO,1592705844,69,5.35,48.53,78.57,22.86
44,Lorengau,1,PG,1592705845,72,-2.02,147.27,84.42,2.17
45,Tasiilaq,100,GL,1592705734,70,65.61,-37.64,44.6,25.28
46,Nikolskoye,0,RU,1592705847,66,59.7,30.79,55.99,8.95
47,Grindavik,75,IS,1592705848,81,63.84,-22.43,51.8,6.93
48,Bethel,1,US,1592705849,78,41.37,-73.41,73.0,3.36
49,Lüderitz,0,NA,1592705850,58,-26.65,15.16,59.0,5.82
50,Busselton,0,AU,1592705852,49,-33.65,115.33,59.0,5.39
51,Sola,26,VU,1592705853,81,-13.88,167.55,80.22,20.2
52,Port Elizabeth,0,ZA,1592705834,87,-33.92,25.57,60.8,8.05
53,Puerto Ayora,82,EC,1592705652,96,-0.74,-90.35,69.01,9.19
54,Caravelas,1,BR,1592705856,88,-17.71,-39.25,70.47,4.34
55,Itoman,75,JP,1592705857,79,26.12,127.67,87.8,17.22
56,Mount Isa,0,AU,1592705858,28,-20.73,139.5,73.4,16.11
57,Baykit,76,RU,1592705820,46,61.67,96.37,67.19,2.37
58,Chui,99,UY,1592705861,93,-33.7,-53.46,57.27,9.53
59,San Ramon,1,US,1592705712,49,37.78,-121.98,73.99,11.41
60,Leopold,90,AU,1592705863,100,-38.18,144.47,52.0,4.7
61,Naryan-Mar,100,RU,1592705864,82,67.67,53.09,40.71,17.4
62,Ushuaia,75,AR,1592705865,88,-54.8,-68.3,37.4,8.05
63,Okato,64,NZ,1592705866,86,-39.2,173.88,55.99,4.0
64,Sinnamary,100,GF,1592705867,86,5.38,-52.95,78.35,8.52
65,Tegul'det,100,RU,1592705868,49,57.31,88.17,57.02,2.84
66,Yerbogachën,0,RU,1592705869,51,61.28,108.01,74.46,6.38
67,Alta Floresta,26,BR,1592705870,74,-9.88,-56.09,72.68,3.24
68,Kula,10,TR,1592705872,60,38.55,28.65,63.59,1.5
69,Jamestown,20,US,1592705791,88,42.1,-79.24,73.0,5.82
70,Portland,90,US,1592705585,72,45.52,-122.68,69.01,6.04
71,Hong Kong,86,HK,1592705875,76,22.29,114.16,91.0,8.99
72,Saint Paul Harbor,90,US,1592705876,81,57.79,-152.41,53.6,13.87
73,Thompson,75,CA,1592705640,100,55.74,-97.86,50.0,10.29
74,Mataura,2,NZ,1592705878,71,-46.19,168.86,46.36,2.89
75,Östersund,1,SE,1592705879,54,63.18,14.64,59.0,11.41
76,Severo-Kuril'sk,100,RU,1592705655,88,50.68,156.12,43.86,19.73
77,Pevek,51,RU,1592705804,71,69.7,170.31,43.83,6.24
78,Dikson,100,RU,1592705882,86,73.51,80.55,35.58,22.91
79,Ushtobe,0,KZ,1592705883,26,45.25,77.98,66.92,8.25
80,Thunder Bay,90,CA,1592705814,77,48.4,-89.32,62.01,9.17
81,Sørland,45,NO,1592705886,69,67.67,12.69,58.1,9.69
82,Butaritari,100,KI,1592705887,76,3.07,172.79,83.8,12.33
83,Riviera Beach,75,US,1592705700,78,26.78,-80.06,82.4,4.7
84,Kaitangata,34,NZ,1592705889,68,-46.28,169.85,48.0,3.0
85,Waddān,0,LY,1592705890,53,29.16,16.14,71.69,12.48
86,Hilo,75,US,1592705891,54,19.73,-155.09,82.4,9.17
87,Lodja,5,CD,1592705892,62,-3.48,23.43,70.59,0.56
88,Sobolevo,97,RU,1592705893,97,54.43,31.9,62.56,9.78
89,Otjimbingwe,0,NA,1592705894,44,-22.35,16.13,50.94,4.97
90,Coquimbo,73,CL,1592705632,93,-29.95,-71.34,53.6,4.7
91,Grand Gaube,15,MU,1592705897,88,-20.01,57.66,69.01,7.0
92,Yumen,100,CN,1592705898,41,40.28,97.2,70.3,11.72
93,Aksu,0,CN,1592705899,20,41.12,80.26,75.72,5.12
94,George Town,20,MY,1592705602,83,5.41,100.34,86.0,5.82
95,Saint Anthony,1,US,1592705805,56,45.02,-93.22,71.01,3.36
96,Sitka,75,US,1592705902,87,57.05,-135.33,50.0,5.66
97,Adrar,46,MR,1592705903,16,20.5,-10.07,97.99,8.37
98,Te Anau,1,NZ,1592705869,62,-45.42,167.72,45.28,0.69
99,Tutóia,3,BR,1592705905,86,-2.76,-42.27,76.8,8.1
100,Wamba,60,NG,1592705838,92,8.93,8.6,72.01,1.92
101,Wajir,49,KE,1592705907,65,1.75,40.06,74.73,14.67
102,Taoudenni,1,ML,1592705909,9,22.68,-3.98,98.04,7.61
103,Constitución,19,CL,1592705910,87,-35.33,-72.42,52.95,1.86
104,Abu Samrah,0,SY,1592705911,63,35.3,37.18,68.67,13.4
105,Caucayá,95,CO,1592705912,98,-0.19,-74.78,72.73,1.21
106,Sibolga,44,ID,1592705867,65,1.74,98.78,84.24,0.56
107,Ostrovnoy,8,RU,1592705862,81,68.05,39.51,43.29,8.12
108,Nelson Bay,90,AU,1592705915,93,-32.72,152.15,55.99,8.14
109,Santa Vitória do Palmar,96,BR,1592705916,93,-33.52,-53.37,57.78,11.1
110,Auki,100,SB,1592705917,66,-8.77,160.7,85.68,3.13
111,College,90,US,1592705918,77,64.86,-147.8,62.6,14.99
112,Mar del Plata,100,AR,1592705919,93,-38.0,-57.56,52.0,9.13
113,Muli,98,MV,1592705920,77,2.92,73.57,83.32,11.5
114,Norman Wells,90,CA,1592705922,88,65.28,-126.83,62.6,8.05
115,Faanui,100,PF,1592705923,81,-16.48,-151.75,79.41,11.81
116,Sumbe,0,AO,1592705924,76,-11.21,13.84,69.75,6.33
117,Bredasdorp,0,ZA,1592705743,87,-34.53,20.04,55.4,5.39
118,Nouadhibou,0,MR,1592705926,61,20.93,-17.03,77.0,17.22
119,Tanabe,75,JP,1592705927,69,33.73,135.37,77.0,3.36
120,Lebu,0,CL,1592705928,80,-37.62,-73.65,49.62,1.79
121,Saskylakh,100,RU,1592705929,39,71.92,114.08,78.51,6.26
122,Carnarvon,0,AU,1592705634,68,-24.87,113.63,68.0,4.7
123,Altamira,0,BR,1592705771,96,-3.2,-52.21,71.8,2.66
124,Haapiti,75,PF,1592705933,70,-17.57,-149.87,84.2,6.93
125,Trojas,25,HN,1592705934,85,15.35,-86.7,73.18,1.23
